Operator Name, Total Tests, Generation OK, Simulation Ok
BitheapTest, 0, 0, 0
Compressor, 0, 0, 0
DAGOperator, 0, 0, 0
DSPBlock, 0, 0, 0
Exp, 0, 0, 0
FP2Fix, 6, 6, 6
FPAdd, 9, 9, 9
FPComparator, 3, 3, 3
FPConstDiv, 6, 6, 6
FPConstMult, 9, 9, 9
FPConstMultRational, 6, 3, 3
FPDiv, 3, 3, 3
FPExp, 3, 3, 3
FPLog, 3, 3, 3
FPMult, 3, 3, 3
FPPow, 6, 6, 3
FPSqrt, 3, 3, 3
Fix2DNorm, 0, 0, 0
Fix2FP, 0, 0, 0
FixAtan2, 0, 0, 0
FixComplexAdder, 0, 0, 0
FixComplexKCM, 0, 0, 0
FixComplexR2Butterfly, 0, 0, 0
FixFFTFullyPA, 0, 0, 0
FixFIR, 0, 0, 0
FixFixConstMult, 0, 0, 0
FixFunctionByMultipartiteTable, 0, 0, 0
FixFunctionByPiecewisePoly, 0, 0, 0
FixFunctionBySimplePoly, 0, 0, 0
FixFunctionByTable, 0, 0, 0
FixHalfSine, 0, 0, 0
FixIIR, 1, 1, 1
FixIIRShiftAdd, 0, 0, 0
FixMultAdd, 36, 36, 34
FixRealConstMult, 0, 0, 0
FixRealKCM, 0, 0, 0
FixRealShiftAdd, 0, 0, 0
FixRootRaisedCosine, 0, 0, 0
FixSOPC, 0, 0, 0
FixSOPCfull, 0, 0, 0
FixSinCos, 0, 0, 0
FixSinOrCos, 0, 0, 0
GenericLut, 0, 0, 0
GenericMux, 0, 0, 0
IEEEFPAdd, 0, 0, 0
IEEEFPExp, 3, 3, 3
IEEEFPFMA, 0, 0, 0
InputIEEE, 0, 0, 0
IntAddSub, 4, 4, 4
IntAdder, 0, 0, 0
IntComparator, 0, 0, 0
IntConstDiv, 5, 5, 5
IntConstMult, 20, 20, 20
IntConstMultShiftAdd, 38, 38, 38
IntConstMultShiftAddOpt, 11, 11, 11
IntConstMultShiftAddOptTernary, 11, 11, 11
IntConstMultShiftAddPlain, 0, 0, 0
IntConstMultShiftAddRPAG, 10, 0, 0
IntConstantComparator, 0, 0, 0
IntDualAddSub, 0, 0, 0
IntFIRTransposed, 7, 7, 7
IntKaratsubaRectangular, 0, 0, 0
IntMultiAdder, 0, 0, 0
IntMultiplier, 20, 20, 20
IntMultiplierLUT, 6, 6, 6
IntSquarer, 0, 0, 0
IntSquarerLUT, 0, 0, 0
LZOC, 0, 0, 0
LZOC3, 0, 0, 0
Normalizer, 12, 12, 12
OutputIEEE, 0, 0, 0
PIF2Fix, 0, 0, 0
PIF2Posit, 0, 0, 0
PIFAdd, 0, 0, 0
Posit2FP, 0, 0, 0
Posit2PIF, 0, 0, 0
Posit2Posit, 0, 0, 0
PositAdd, 0, 0, 0
PositExp, 0, 0, 0
PositFunctionByTable, 0, 0, 0
RegisterSandwich, 0, 0, 0
RowAdder, 0, 0, 0
SRTDivNbBitsMin, 0, 0, 0
ShiftReg, 0, 0, 0
Shifter, 0, 0, 0
SortWrapper, 0, 0, 0
SortingNetwork, 0, 0, 0
TaoSort, 0, 0, 0
TestBench, 0, 0, 0
TutorialOperator, 0, 0, 0
UniformPiecewisePolyApprox, 0, 0, 0
VaryingPiecewisePolyApprox, 0, 0, 0
